ulasan,label
kok gopay not_bisa dipakai ada apa ya saya sudah ngisi gopay tapi not_bisa dipakai sama saja bohong,netral
gps nya not_akurat buat bingung driver,netral
driver suka pilih2 orderan kalau dianggap nya jauh not_mau nerima,netral
sangat membantu dan mempermudah transportasi,positif
tanggapan leluhan nya kurang sekali kayak not_ada customer service nya gitu,netral
smoga devloperny not_kebut2an bawa motornya,netral
aplikasi hanya liat laporan karena saya sering cancel padahal itu permintaan driver nya karena jalan lagi arus balik macet akun saya sekarang di bekukan jadi investigasi juga hanya liat satu sisi itu juga sama robot not_orang investigasi nya jadi hanya liar laporan doang,negatif
keseringan lambat jelek sekali aplikasi ini di jaringan 4g dan 5g gatau kenapa sampe saya harus telat ketinggalan kereta karena pakai aplikasi gotransit di aplikasi ini,negatif
mau login saja di persulit suruh menunggu sejam buru buru nih,netral
suka eror sendiri masa mau pesan gofood harus mencari alamat mellu padahal sudah aku gituin,netral
map sering eror lokasinya not_akurat,netral
pada daftar toko gofood untuk apa sih ada tanda bintang ratting 200 kalau qt nya not_bisa lihat ulasannya mengapa dikasih tanda ratting saran saja biar konsumen semua pd tau toko makanan yang ada di gofood dika si h fitur ulasan pembeli entah itu buruk atau bagus jadi calon pembeli bisa menilai bgm makanan tsb sblm dibeli biar pelajaran juga untuk pedagang2 yang ada di gofood memberi mkanan ke pembeli oleh gojek not_asal asalan,netral
tolong review area sukabumi masak restorannya banyak yang tutup,netral
belakangan ini saya kesulitan mencari driver tolong perbaiki aplikasi gojek sekarang,negatif
saya download kok nggaj bisa ya,netral
apasih coba ni aplikasi kok kalau mau pesan orderan not_bisa sih malahan dapat tulisan server kami padat merayap sumpah kecewa sekali sama ini aplikasi mending grab ajalah daripada go,netral
bagus akan lebih bagus kalau tambah bagus apalagi kalau banyak promo untuk saya pribadi ya hehehe,positif
sangat membantu dan memudahkan pekerjaan,positif
sangat membantu sekali kalau kita bepergian di luar kota mantappss,positif
aku liat banyak tang bilang gojek tu kurang bagus tapi ni aplikasi membantu makasih,positif
perbaiki lagi ketika mau membatalkan aku not_bisa bisa keluar sampai sekarangpun masih belum bisa keluar,netral
saya sangat kecewa saldo saya terkunci padahal saya not_melakukan transaksi ilegal mohon di perbaiki lagi,negatif
gojek indonesia memang mantap,positif
mantap sekali bisa untuk semua keperluan,positif
upgrde ke go pay plus susah sekali alasan sudah pernah di pakai datanya padahal not_pernah hm kecewa,netral
pelayanan yang baik dan lancar,positif
aplikasi kalau dipake minta diupgrade ke go plus tapi susah amat untuk upgrade kasi lah info yang jelas,negatif
masih muncul penilaian babang gojek padahal dah saya nilai,netral
memesan gocar berulang kali dibatal dan itu not_sekali dua kali dan sering sudah menunggu lama driver batalin tiba2,netral
kenapa not_bs transfee ke bank atw ke ssma gopay internet stabil kncang prmintaan sllu belum diproses dan prosesnya not_berhasil,netral
saya sangat puas dengan adanya go jek,positif
sulit dibuka n not_bs diunduh,netral
sangat berguna bagi saya untuk bepergian,positif
sedi sekali tarif nya makin mahal,netral
saya sudah isi go pay melalui m banking pada tanggal 17mei dan sekarang sudah tanggal 20 tapi kenapa not_masuk sampai sekarang sudah telepon ke customer gojek juga akan di tindaklanjuti tapi nyatanya apa kalian sampai sekarang not_proses gopay saya apakah anda mencuri uang saya atau bagaimana saya not_mengerti,negatif
aku suka go food nya saja cepat,positif
gojek kadang rutenya muter muter tapi sangat bermanfaat bagi yang membutuhkan,positif
susah dapat pengendara,netral
sangat membantu terimakasih sering sering kasi voucher ya,positif
lebih gampang kemana mana,positif
setelah diupdate suka error kalau dibuka loadingny lama keluar aplksi sndrii not_seperti yang dulu,negatif
saya tadi memesan makanan ditulisan si driver saya yang membatalkan padahal saya not_membatalkan di notifikasi saya driver telah membatalkan mohon diperbaiki,negatif
lambat sekali kalau dbuka,netral
cukup baik tapi sayang masa iyha disuruh uptade terus,netral
maaf kenapa saya not_bisa menerima telp jika driver menggunakan telp internet di aplikasi atau di mana untuk menerima telp,netral
mohon di perbaiki untuk gopay kalau dana di proces 1 x 24 jam masih dalam proses harus nya di kembalikan saja ini sudah 2x 24 masih saja nyangkut,netral
tlong di kurangin biaya admin sekarang gede sekali,netral
nomor hape saya sudah terdaftar tapi kok not_bisa masuk ke aplikasi gojek ya solusi nya bagaimana ya biar bisa masuk lagi ke aplikasi nya terima kasih,netral
gojek memang mantap selau mambantu,positif
tingkatkan terus pelayanan dan kemudahan untuk pengguna aplikasi,positif
not_sering sering update,netral
kasih bintag 3 dulu kalau m mang versi nya a gcor 10 bintang juga saya kasih,netral
maaf saya kasih bintang satu karena fitur chat yang disediakan sering not_sampai ke driver kedua kalau menelepon harus pakai pulsa not_bisa dari aplikasi padahal aplikasi sebelah fitur chat dan fitur teleponnya cukup dari aplikasi ketiga drivernya susah sekali balas chat dan telepon dan not_ada konfirmasi apapun dah gitu datang pakai kendaraan yang berbeda kalau not_promo not_bakal pakai ini aplikasi go food jelas2 habis menunya eh not_bisa dibatalkan dan saya harus bayar makanan kosong,negatif
beberapa kali pakai gopay tarif not_sesuai dengan yang tertera di awal misal kita sudah pilih lokasi start n lokasi finish muncul tarif 25 ribu tapi saldo berkurang lebih dari 30rb dan sudah beberapakali sperti itu mohon informasi dan penjelasanya trimakasih,positif
huruf dan angka di aplikasi gojek kecil dan not_bisa diperbesar sulit untuk lansia tolong diperbaiki font huruf dan angkanya terima kasih,netral
code sms not_ada melulu lama,negatif
sekarang harga gojek krng terjangkau oleh ank sklhan jadi kecewa akunya,netral
aplikasi mkin jelek dan makin berat kedisiplinannya jg menurun,negatif
oke lah kalau begituh lumayan baik,positif
sangat membantu bagi saya yh tida punya kendaraan,positif
kenapa enggak bisa daftar yah,netral
mengecewakan susah untuk upgrade,negatif
kenapa gara gara membatalkan pesanan di bekukan padahal dari pihak gojek sendiri menyediakan driver yang akan menjemput penumpang jauh apa konsumen harus menunggu lama untuk kedatangan driver untuk menjemput,negatif
saya beri bintang 1 untuk fitur gopaylater yang sedikit menjebak dan denda yang sangat besar di paylater shope tokped sudah ada cht yang mengingatkan 2 hr sebelum jatuh tempo dan hanya menonaktifkan akun saja not_lngsung denda jika baru telat 1 hr sja digooay rakus sekali dendanya dan not_ada notif diaplikasi kalau kita jatuh tempo baru ada yang cht via wa setelah kena denda ngakakk,negatif
sering gangguan tiba2 keluar dari aplikasi mohon diperbaiki,negatif
dapat driver susahnya minta ampun coba kondisikan lagi,netral
kenapa sudah 2 hari saya beli kuota melalui aplikasi gojek kastarber sampe sekarang belum juga masuk tolong di caknya,netral
titik grabfod nya sialan,negatif
driver nya tepat waktu dan bawa kendaraan nya juga enak,positif
mudah nyaman aman dan murah,positif
pas update ko lama sih ngulang 2kali,netral
aplikasi yang sangat bermanfaat mau keman mana jadi gampang,positif
cuma mau naya kenapa yang ngutang diskon y gede kalau bayar cas diskonya 5 ribu ke bawah,netral
aplikasi nya mudah di gunakan dan sangat membantu setiap bepergian,positif
not_jelas sekali salah pin melulu padahal sudah diganti pinnya,negatif
setelah di update kok malah bug sangat buruk lambat,netral
tolong di perbaiki lagi untuk rute maps rute sekarang maps muter jauh,netral
waktu tunggu yang sangat lama kenapa ambil driver yang jauhnya nauzubillah kan ada yang dekat driver dan penumpang dijadikan sapi perah tanpa adanya pelayanan yang baik minim inovasi,negatif
baik dan bisa antar maupun jemput,positif
kenapa not_bisa singkron dengan akun driver fitur tarik ke gopay nya not_muncul di aplikasi driver,netral
sangat terbantu dengan produk paylater nya terimakasih gojek,positif
kcewa dengan promo katanya ada promo gratia pengiriman taunya stlah makanan tiba promonya not_ada mengecewakan kecewanya berulamg lagi sialan kamu gojek,negatif
kok not_bisa saya update ya kenapa nih,netral
harga sedikit mahal di banding sebelah,netral
susah dan sukar alamat yang di cari not_bisa terdetiksi padahal di google maps bisa lg kluar,negatif
pesanan selalu tepat waktu barang dalam keadaan baik driver juga ramah,positif
gopay meresahkan woi tiba saldo ke blokir di tanya cuek sekali cuma di read mending di dana ovo saja,negatif
harus sering di update tak kasih tiga bntang dulu,netral
setiap abis ujan lama sekali bahkan sampe not_ada,netral
aplikasi lain lancar aman jaringan y ini buka aplikasi gojek koq lol sekali yaa,negatif
simpel dan sangat membantu,positif
2 dulu deh dari kemaren dwonload not_bisa2,negatif
go food sampah sering sekali order sudah menunggu lama 1 5 jam not_ada update malah dicancel tiba tiba kesal sekali saya,negatif
tolong dong diperbaiki saya pesan makanan dengan estimasi 45 menit namun sering telat kadang driver sering cancel begitu saja dan juga pemberitahuan dapat driver dan cancel itu lumayan lama dan saya sudah menunggu lama terkadang sudah menunggu lama sekali tiba ada pemberitahuan seperti semua driver sedang sibuk astagah sumpah kita menunggu dari lama kadang lebih sejaman setidaknya kalau not_bisa dari awal kasih pemberitahuan kami lebih awal jadi kami not_menunggu lama not_malah tiba tiba dicancel,negatif
mantul alias muantap betul kemana sudah lebih gampang n murah thx gojek,positif
kecewa tiba2 kok perangkat hp saya dibekuin trz not_ada solusi lg dari pihak gojek ya kali masa harus beli hp baru biar bisa pakai aplikasi gojek nya,negatif
mencari bandara sipinggan digojek tulisan alamat not_ditemukan,negatif
nyaman aman dan cepat,positif
pesan makan sekarang lama sekali,negatif
kok paylater saya di blokir ya bagaimana cara aktfkan nya,negatif
sangat buruk saya menunggu go food sampai 3 jam dari estimasi yang di janjikan 4o menit expres dibatalin susah saya hapus aplikasi nya padahl saya sudah 10 lebih memesan menggunakan gojek kali ini kecewa kita ingin mengjukan keluhan hanya bot saja yang di tampilkan not_nyambung,negatif
dompet gopay dikunci seenaknya saldo masih ada kecewa dengan sistem gojek,negatif
ganti nomer hp kok susah sekali y,netral
sangat membatu mantap,positif
drivernya jauh dikit gamau ambil gamau cancel juga,negatif
lama padahal banyak yang dekat,negatif
gopaylater limit ditambahin melulu tapi malah jadi not_manfaat not_bisa dipake terus untuk apa dong dinaikin limit kalau not_ada manfaat nya mending yang sebelum nya saja lah limit kecil tapi bisa dipake,negatif
perangkat saya hilang sampai sekarang not_ada berita nya,netral
di gofood biaya penanganannya mahal sekali skr sangat buruk not_kaya dulu di sebelah not_semahal itu sudah,netral
alhamdulillah sangat membantu,positif
aplikasi ini sama sekali not_melindungi privasi konsumen dalam memberikan penilaian ke driver alhasil gara2 not_diterima dinilai buruk ada oknum driver yang mengintimidasi konsumen not_aman,negatif
cari driver lama giliran dapat tiba di cancel not_jelas drivernya malah pada not_jelas,netral
lama cari driver nya lama sekali dah,negatif
aplikasi bodoh fitur banyak pungsi gaada,negatif
perbaiki kulitas pelayanan,positif
aplikasi saya not_dapat di gunakan untuk order apapun gopay saya lenyap di aplikasi not_bisa untuk transfer,negatif
coba dong gojek benerin coba driver pada manja sekali ujan dikit saja males ngambil orderan saya yang pesan gofood saja lama sekali not_dapet2 driver sudah 1jam tolong lah kalau driver kalian gamau ngambil orderan mending pindah aplikasi grab kalau grab driver slalu gampang dapat mau ujan pun slalu tepat,negatif
ko saya beli langganan yang go food sama goplay 2 minggu 49k not_bsa dipakai sama skali ya rugi 49rb saya,netral
cukup merugikan tanpa saya tau saya not_sengaja ke pesan double order di go ride sehingga saat di jalan tiba tiba ditelpon driver padahal merasa not_memesan cukup merugikan saya dan driver gojek,negatif
bagaimana ini sudah hampir 50 x saya mau upgrade ke google pluus not_bisa bisa selalu di tolak padahal saya pakai gojek sudah 6 tahun,netral
kode verifikasi lama kontol,negatif
pelayanan baik dan memuaskan,positif
tolong di perbaiki saya sama sekali not_bisa login sementara jaringan saya bagus,netral
hai saya mau tanya kenapa pada saat order gocar selalu jauh dari driver padahal di sekitar saya ada banyak driver gocar yang aktif siap menunggu orderan masuk tolong di perbaiki ya ini,netral
ini kenapa ya abis diupdate malah not_bs dibuka aplikasi yang lain ok2 saja nih kenapa gojek not_bs,negatif
saya daftar go pay plus not_bisa bisa mengapa saya topup topup not_bisa foto itu pasti ada perubahan apa lagi yang di butuhkan orang asli,netral
mau kemana mana pakai gocar susah sekali cari driver not_dapat2,netral
masa pas stelah saya nyelesaikan misi tapi saya tdk mendapat hadiahnya,netral
cuma sekedar ucapan terimakasih,positif
saya not_pernah melakukan penipuan tapi kok saya di blokir gitu,negatif
sangat buruk sih komplain karena gofood makanan kurang tapi sama sekali not_ada respon dari aplikasi atau dari restonya,negatif
saya kecewa dengan layanan bantuan pada gojek karena pada saat saya lapor masalah misi yang not_bisa diselesaikan tiba tiba seluruh voucher yang saya miliki sebelumnya hilang seperti akun saya diblacklist padahal saya pengguna lama di gojek dan sering bertransaksi menggunakan gopay,negatif
saya sudah order 3 kali go food untuk dapetin voucher 90rbnya tapi kok belum dapat vouchernya katanya kurang langkah ke 3 padahal saya order gofood 1x 1 hari sesuai ketentuan kecewa apa harus order 4x biar bisa dapat voucher 90rbnya beratti iklannya hoax bisa cek di history order saya kecewaa banget reputasi,negatif
jadi lebih gampang,positif
terima kasih banyak gojek,positif
diskon gofood makin dikit,netral
bagus sih tapi disaranin not_kebanyakan updatenya toh sama sama saja soalnya penyimpanan nya jadi penuh kalau di update terus,positif
mantap lah cuma kadang harga suka anjlok anjlok,netral
gangguan apa bagaimana sih mau gofood dari pagi not_bisa,netral
mohon untuk memberikan banyak diskon ongkos kirim yang not_usah pakai minimal atau metode pembayaran cukup tunai di perbanyakin diskon,netral
trmksh banyak ats applikasi ini sangatt sangat menbantu saya skl,positif
kenapa not_bisa update,netral
mudah cepat aman sampai tujuan,positif
aplikasi jelek saldo di top up not_masuk lalu laporan robot semua fix jelek aplikasi jelek sudah tarif untuk naik gojek saya saranin not_top up apa pun disini ribet,negatif
tertinggal jauh dari aplikasi tetangga sering gagal padahal jaringan bagus,negatif
saya dapat telepon dari gojek kt nya saya dapat voucher ehh malah uangvsaya di atm yang diambil bagaimana ini gojek,negatif
ini kenapa ya aplikasi gojek saya sering error sudah diupdate malah not_bisa dibuka malah minta update terus jadi susah kalau lagi butuh buru buru,negatif
mudah dipakai dan dipahami,positif
not_jelas gopay not_bisa melakukan transfer sudah laporan berkali kali tetep saja not_bisa di gunakan,negatif
saya ingin bayar pesanan saya dengan pembayaran gopay tapi saat saya memasukkan pin pin tersebut malah salah padahal pin tersebut adalah pin yang sering saya gunakan,negatif
senang pakai aplikasi gojek pokok nya the best tapi mohon bisa di tampilkan alamat yang detail baik lokasi penjemputan maupun lokasi tujuan terima kasih,positif
gojek di perbaru makin agak membingun kan bukany tambah muda ini makin ribet,netral
kenapa setiap saya menambahkan gopay ke metode pembayaran playstore selalu terjadi kesalahan mohon pencerahannya,negatif
good tapi ada tmbhan biaya pesan dan bungkus sedikit mengecewakan,positif
sangat membantu saya mudah kemana2 bawa anak not_ribet lagi,positif
teruntuk pt gojek yth tolong untuk drivernya menjaga etika sopan santun ketika ada orderan masuk harus bertanggung jawab akan hal itu saya penguna lama gojek 2 bulan ini banyak hal driver aneh saya not_akan segan2 beri bintang 1 ketika drivernya ok kita not_akan diam saja untuk kasih lebih tapi kalau buruk pelayananya bintang 1 saya beri,netral
senang dengan gojek semoga ditingkat yang sudah ada,positif
skrng pesan gojeck susah cht sllu pending dan no tlf driver not_da jadi mkin susah bkn makin mudah,netral
trimakasih untuk yang buat aplikasi ini sudah banyak membantu saya smg sukses sllu amin,positif
alhamdulillah aplikasinya sangat baik dan sangat membantu,positif
not_bisa buka aplikasi gojeek nya mesti loading lama keluar sendiri sudah copot pasang aplikasi tetep not_bisa,negatif
bagus untuk kebutuhan sehari2,positif
lebih praktis murah juga cepat,positif
kurangnya promo2 seperti dulu,netral
prilaku salah satu oknum driver gocar nya buruk kalau not_mau pickup dari awal ya tinggal bilang mentang2 duitnya cuma 15rb nelpon saja cara ngomongnya songong banyak alesan ujung2 nya minta di cancel giliran sudah di cancel malah datang marah drivernya not_terima,negatif
bgs dan membantu sekali,positif
kenapasi kok dikit2 update prasaan baru saja di update eh ada notif suru update lagi,negatif
sebell ada promo potongan gofood tiap pembelian 40k sudah mencapai tapi kena promo gratis ongkos kirim judulnya sih ttep saja potongannya cuma 7k nyoba lagi eh bisa dapat potongan klik pesan begitu tampil drivernya total pembayaran not_dapat potongan harga gofood mau cancel juga not_tega ama drivernya kalau saja aplikasi yang satu masih bisa login juga not_bakal pakai inii terlalu sebel,netral
aplikasi nya sangat berguna dan mudah terimakasih gojek,positif
saya tdk bisa order makanan di gofood apakah sistem error jawaban selalu driver sibuk,netral
asli nya saya suka pakai gojek tapi gara gara tadi saya jadi malas pakai lagi pesan go car argo 16 0 sekian karena jarak antar nya juga not_jauh dan paling penting tadi mau bawa nenek saya pulang karena beliau sudah not_kuat jalan naik motor dia not_berani tapi 1 pun driver yang ambil dengan alasan argo not_cukup untuk bensin misal not_cukup harus nya datang dulu ngomong dulu ke saya pasti saya tambahin tapi mereka langsung cansel,negatif
sangat nyaman dan bisa irit uang saku,positif
assalamualaikum admin kenapa proses kartu prakerja kok not_masuk masuk ke gopay,positif
sekarang jadi lebih susah untuk mencari driver gofood not_kayak dulu,netral
drivernya banyak yang tdk memuaskan apa lagi gofood sudah menunggu lama lama tau tau cencel,negatif
kurang ngerti alamat driver2 nya,netral
pelayanannya buruk total drivernya kayak not_butuh uang drivernya not_niat ta kalau not_niat tinggal dimatikan not_buat konsumen menunggu lama sudah order goridenya lama kadang drivernya datang not_tepat waktu terus not_pakai pengaman kalau naikkan harga lihat dulu order goridenya yang batal gara driver anda kalau mencari untung not_main curang,negatif
perjalanan aman sampai tujuan,positif
sedikit kecewa karena ada vhocer pas saya mau pakai server sedang sibuk melulu payah vhocer tdk bisa dipakai bagaimana si,netral
saya pesan gocar tapi datengnya bluebird padahal saya not_pesan bluebird saya pesan gocar ke jalur ganjil genap jakarta tapi selalu dapat mobil not_sesuai tanggal coba ditingkatkan lagi sistem aplikasinya supaya lebih baik customer kan selalu bayar biaya aplikasi untuk jasa pengembangan aplikasi not_untuk donasi atau sedekah untuk karyawan it gojek tolong diperhatikan kalau pesan gocar dateng bluebird itu gausah ada lagi gocar jadi bluebird saja skalian terimakasih7,negatif
gojek kenapa sekarang makin susah saja ya untuk transfer ke rekening bank apa ada yang salag dengan sistem kalian hey kami susah payah cari uang untuk biaya anak istri tolong transaksi transfer gopay itu di perbaiki dan di permudah not_update versi saja makin kesini makin not_benar sistem nya kecewa kecewa,negatif
upgrade pluss nya not_bisa pakai kartu pelajar kah,netral
sangat membantu untuk transportasi saya,positif
untuk gofood masih mahal dan sngt dmnta untuk di perbaiki,netral
mantap drivernya ramah cepat saya suka,positif
not_sering update ya buat memori penuh nih aplikasi sudah cukup berguna sekali not_perlu macem kebanyakan fitur jadi agak lambat,netral
sangat membantu pastiadajalan,positif
monyet aplikasi gojek nih brengsek upgrade ko di tolak terus sudah 8kali padahal foto benar not_buram semoga bangkrut kau gojek,negatif
semenjak ganti pemegang saham not_lagi yang ter baik aplikasi layanan yang tdk ada toleransi non slik ojk not_ada ampun kecewa program nya tdk melihat pelanggan setia yang sudah lama,netral
aplikasi sangat bermanfaat bagi semua pengguna,positif
aplikasi gojek sekarang hancur,negatif
kenapa baru di download kok berhenti im,netral
kurang bagus skrng,netral
permintaan ditolak itu kenapa ya,negatif
pelayanan sudah baik tingkatkan lagi dengan fitur fitur lainnya trima kasih,positif
kalau memberi driver not_jauh jauh,netral
ongkos gojek naik malas mau naik lagi pindah kelain hati saja dah masak dekat jauh 90 siang malam harga sama sudah malas klau naik tarif nya,netral
kinerja sangat buruk saya bermasalah dengan saldo gopay yang terpotong untuk pembelian pulsa telkomsel tetapi pulsa nya not_masuk saya sudah konfirm ke pihat telkomsel dan mreka menyatakan tdk ada transaksi melalui gopay dan saya di suruh konfirm ke gojek pihak gokek dari tgl 26 januari sampe skrng not_ada tanggapan ataupun penyelesaian email sudah saya kirim beberapa kali beserta bukti pemesanan dan konfirm pihak telkomsel tapi nyatanya sampe skrng not_ada penyelesaian,negatif
bagus sekali aplikasinya sangat membantu,positif
sangat membantu disa at ingin bepergian,positif
ongkirnya skrng mahal,netral
akun gojek tiba tiba di blokir nyesel saya bisnis pakai gojek custamer alesan layanan pelanggan pelanggaran kan saya pakai krj wajar dong banyak transaksi transfer akun gojek custamer kalau tau mau di blokir saya not_bakal daftar dari dulu biar baca yang punya aplikasi gojek,negatif
sungguh gojek online sangat membantu sekali,positif
sering kasih promo donk biar selalu setia pakai gojek,positif
kenapa ini not_bisa login,netral
agak lambat beda ama aplikasi yang dulu lama,negatif
cukup membantu untuk penggunaan transportasi dan pemesanan food,netral
lagi mau cek pesanan saya pencet dipesanan saya eh langsung order sangat buruk,negatif
saya sering dapat drivernya pas otw lokasi not_sesuai sama waktu di aplikasi,netral
sering error di saat penting kaya sekarang malah error malem malem payahh,netral
harga yang tertera kenapa beda dengan harga setelah kita sampai tujuan mohon di koreksi lagi untuk akurat biaya transportasi nya,netral
sangat puaz cepat dan sigap juga sopan,positif
penerapan fitur lama waktu order gofood beserta memasang price disitu regular express pasti 100 menyebabkan menurunnya pengguna aplikasi gojek dulu semua order akan bergerak cepat realtime sekarang karena fitur itu gap waktu notifikasi antara warung lalu ke driver sengaja dibuat lama oleh sistem saya termaksud yang not_menyukai fitur itu karena pada dasarnya orang memilih gojek karena ingin menghemat waktu coba express sama lambat juga rugi cost,negatif
tolong dikonfirmasikan tetang masalah go food nya jikalau restauran nya tutup ya di aplikasi harus tutup masa pas saya pesan diaplikasinya buka pas waktu go jek nya mau memesan ternyata tutup restaurant nya mohon diperbaiki lagi kinerjanya,netral
happy sejak ada gojek apalagi pas keluarin paylater transaksi jadi lebih gampang,positif
ini bagaimana si sistemnya masa mau aktifin akun lagi error melulu buruk sekali ngerugiin saja,negatif
sangat membantu ibu2,positif
tolong masalah aplikasi nya di perbaiki lg karena sering lambat,negatif
isi saldo tapi belum masuk2 mengecewakan,netral
fiture gopaylaternya ternyata hanya berfungsi 1 hari jatuh tempo tak kira bisa sampai 30hari atau bisa memilih sendiri jatuh temponya,netral
ribet cari tranckingan gofood searching di google malah gomart not_jelas plis fitur icon status pesanan gofood didepan saja gausah buat ribet untuk carinya,negatif
mantap cepat dan tepat,positif
saya kecewa sama gojek sudah lama saya tidk menggunakan goride sekali nya dapat driver yang motor nya tinggi sekali terus juga saya enggak nyaman saya kecewa,negatif
selalu tepat waktu dan ramah,positif
saya pesan makanan lwt gofood di di c st hbs makan karena not_fresh gatel mo di kasi rating bintang 1 not_bs katanya sibuk melulu benerin tuh patner setan yang kaya gituan buat orang skt hbs makan anying,negatif
sampah terlalu banyak kendala dalam penggunaan aplikasi,negatif
promo vouchernya mantab buat hemat kantong thanx gojek,positif
sangat membantu baik gojek maupun gofood recommended top sekali,positif
dapat driver lama berjam skali dapat jauh sekali pdahal yang dekat banyat dapat nya yang jauh melulu terus driver minta di cancel melulu karena kejauhan titik jmputnya,negatif
kemana saja mudah dengan gojek not_harus mengambil kendaraan pribadi dan not_usah membeli makanan jauh jauh tinggal buka aplikasi gojek,positif
kirain kalau pale gopay bakal ada potongan,netral
sangat buruk sekali transaksi transfer ke bank pending suruh menunggu 2 hari padahal butuhnya sekarang mengecewakan sangat buruk gojek,negatif
terlalu banyak update urgent naik terpaksa menunggu tolong not_keseringan update,negatif
tier sudah jadi sultan tapi diskon dapat cuma sedikit,netral
aplikasinya bagus tapi sekarang suka kecewa kenapa kalau cari driver dapetnya jauh terus padahal cuaca not_hujan tapi dapetnya jauh terus itu jiga kadang yang dekat suka dicancel sama drivernya tolongg yaa di evaluasi terimakasih,netral
maaf belum menggunakan sementara segitu dulu,negatif
saya pernah komplain karena pengiriman uang dari gojek ke ovo sampai seminggu tdk ada kejelasan walaupun akhirnya bisa tapi setelah itu di aplikasi gojek saya tdk pernah lagi dapat bonus potongan perjalanan untuk gojek gocar males pakai aplikasi ini,negatif
mantul sangat membantu,positif
kenapa promo gojek sering kali not_ada kalaupun ada promonya kecil sementara harga perjalanan naik,positif
berapa lama proses upgrade akun gopay kenapa setelah saya unggah belum ada konfirmasi,netral
lagi lagi setelah log out sulit untuk log in kmbali padahal jaringan lancar,netral
kadang not_bisa dibuka internet mati padahal kondisi data aktif harus pakai wifi baru bisa konek,netral
terimakaih gojek selalu bersama saya membuat jarak yang jauh menjadi dekat selalu ada jalan bersama gojek terimakasih,positif
bagus sekali tapi kalau hari raya jarang ada gojek,positif
sangat membantu sekali,positif
bagus tapi not_di persulit,positif
kalu bisa sesuikan ongkos dekat dan jauya perjalanan biar derever dan kastamer sama meguntungkan,positif
terlalu sering abdet namum sistem sama saja not_berbeda malah buang2 kuota saja,negatif
aduh aplikasi kok eror melulu sih transfer 400 ribu dari semalem masih dalam proses melulu bagaimana ini kebijakan dari gojek,negatif
semoga makin keren gojek,positif
sip sekali aplikasinya untuk pergi2 cari makan kirim barang ok sekali terima kasih,positif
beli gofood dari siang not_bisa alasan driver sibuk melulu,netral
kenapa saya sudah not_bisa pakai aplikasi ini lagi di download ulang not_bisa2,negatif
toling diperbaiki lagi promo gobills saya pakai gobills u pembelian listrik prabayar tapi not_mendapatkan cash back padahal promo masih berlaku,netral
orderan tdk selancar dulu,netral
kok saya top up akun gopay customer dari gojek driver saya belum masuk sampe sekarang sudah 30 menit menunggu,negatif
cara melihat riwayat yang juga menampilkan saldo gopay bagaimana,netral
sangat membantu dalam pengiriman barang thanks,positif
perlu perbaikan yang lebih meningkat,netral
ini aplikasi not_jelas waktu pengisian saldo banyak sekali pilihannya pertama saldo go drive go ride go driver go pay nama aplikasi gojek ntah saldo mana yang harus diisi ini salah satu untuk orang bingung waktu pengisian saldo mending pakai dana saja jelas namanya cuma 1 waktu pengisian saldo dana ini aplikasi labil not recomended,negatif
sayangat bermanfaat sekali pulang kerja jadi lebih cepat,positif
komisi yang diambil terlalu mahal kalah saing sama maxim yang ngambil komisi 890perak per orderan terdekat lama2 gojek jadi kayak nokia not_laku makin di tinggal konsumen,negatif
saya minta kepada pihak gojek untuk menambah jumlah driver karena saya menunggu ber jam jam untuk mendapat kan driver sampai sekarang belum dapat juga,negatif
go send not_bisa kalau hujan,netral
sangat membantu sekali trimakasih,positif
ok bagus sekali karya anak bangsa menjadi nomor 1,positif
sudah bagus tapi sedikit saran untuk gofood harga di aplikasi sama pas barang datang itu beda malah lebih mahal tolong ya diperbaiki lagi,positif
sudah sering saya alami mitra mengambil biaya yang not_semestinya kadang saya membayar parkir dan tol dengan emoney pribadi kemudian driver memungut biaya parkir dan tol di aplikasi dengan harga yang not_wajar jadinya saldo gopay saya diambil oleh mitra drivernya tolong yang begini ditindak mitranya sangat merugikann,negatif
gofood ambil untung nya kebanyakan nih,netral
sangat bermanfaat sukses selalu,positif
gojek sangat mengecewakan hati kawan kalau mesan pakai gofood kalau salah not_bisa dibatalin samsek walau pesenan baru 10 detik juga ganyampe driver beli ke resto tetep saja eror gojeknya katanya peraturan harus telfon ke layanan pelanggan ternyata layanan pelanggan juga not_bisa ditelfon banyak yang sudah kejadian dan ternyata saya juga kena dan baru tau kalau sistem gofood sekarang sangat not_jelas dan menyebalkan peraturan dan pelayanan sangat rendah hati hati,negatif
akun saya not_pernah melakukan transaksi aneh sudah daftar gopayplus lama dan not_pernah telat bayar gopaylater tapi pihak gojek malah blokir sepihak masih bisa transaksi goride gocar gofood gomart gomed bisa top up tapi pas mau beli pulsa dan bayar tagihan pbb kok not_bisa ternyata akun saya dibatasi dan untuk laporan juga percuma apa salah saya sampai kalian tampar keras begini not_tebang pilih dong beneran pindah saya ke grab dan ovo bye not_guna nih aplikasi sampah kecewa sekali,negatif
saya sudah menunggu lama untuk order gofoodnya pas orderan dibatalin sama penjualnya malah not_ada info not_dikasih tau kalau orderannya dibatalin penjualnya dari tadi gambarnya stuck di makanannya sedang dimasak saya tutup aplikasi nya baru dikasih tau saya sudah menunggu lama loh,negatif
aplikasi nya rusak enggaa bisa scan jadi saya uninstall ajaa,negatif
